Attribute,Class,Definition
"private id : int","Empresa",""
"private razao_social : String","Empresa",""
"private nome_fantasia : String","Empresa",""
"private cnpj_raiz : String","Empresa",""
"private data_fundacao : DateOnly","Empresa",""
"private cnae_principal : String","Empresa",""
"private regime_tributario : String","Empresa",""
"private telefone_principal : String","Empresa",""
"private email_principal : String","Empresa",""
"private website : String","Empresa",""
"private logo_url : String","Empresa",""
"private status : StatusEmpresa","Empresa",""
"private data_cadastro : Date","Empresa",""
"private data_atualizacao : Date","Empresa",""
"private id : int","Categoria",""
"private unidade_id : int","Categoria",""
"private nome : String","Categoria",""
"private descricao : String","Categoria",""
"private ATIVA : int","StatusEmpresa",""
"private INATIVA : int","StatusEmpresa",""
"private SUSPENSA : int","StatusEmpresa",""
"private id : int","Unidade",""
"private empresa_id : int","Unidade",""
"private matriz_id : int","Unidade",""
"private nome : String","Unidade",""
"private tipo_unidade : TipoUnidade","Unidade",""
"private cnpj : String","Unidade",""
"private cep : String","Unidade",""
"private logradouro : String","Unidade",""
"private numero : String","Unidade",""
"private complemento : String","Unidade",""
"private bairro : String","Unidade",""
"private cidade : String","Unidade",""
"private estado : String","Unidade",""
"private codigo_ibge_municipio : String","Unidade",""
"private telefone : String","Unidade",""
"private email : String","Unidade",""
"private status : StatusUnidade","Unidade",""
"private data_abertura : DateOnly","Unidade",""
"private data_cadastro : Date","Unidade",""
"private data_atualizacao : Date","Unidade",""
"private MATRIZ : int","TipoUnidade",""
"private FILIAL : int","TipoUnidade",""
"private ESCRITORIO : int","TipoUnidade",""
"private DEPOSITO : int","TipoUnidade",""
"private ATIVA : int","StatusUnidade",""
"private INATIVA : int","StatusUnidade",""
"private EM_REFORMA : int","StatusUnidade",""
"private id : int","Produto",""
"private categoria_id : int","Produto",""
"private nome : String","Produto",""
"private descricao : String","Produto",""
"private preco : Decimal","Produto",""
"private status : YesNo","Produto",""
"private YES : int","YesNo",""
"private NO : int","YesNo",""
"private id : int","Mesas",""
"private numero : int","Mesas",""
"private capacidade : int","Mesas",""
"private status : StatusMesa","Mesas",""
"private LIVRE : int","StatusMesa",""
"private OCUPADA : int","StatusMesa",""
"private RESERVADA : int","StatusMesa",""
"private id : int","Garcom",""
"private nome : String","Garcom",""
"private codigo_identificacao : String","Garcom",""
"private id : int","Comanda",""
"private hora_abertura : Date","Comanda",""
"private hora_fechamento : Date","Comanda",""
"private preco_unitario : Decimal","ItemComanda",""
"private quantidade : int","ItemComanda",""
"private observacao : String","ItemComanda",""
"private status_item : StatusItem","ItemComanda",""
"private NA_COZINHA : int","StatusItem",""
"private PRONTO : int","StatusItem",""
"private ENTREGUE : int","StatusItem",""
